Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-09-12,2018,9,12,Wednesday,36,2018-36,67.8,68.0,65.48,67.05,41909200,66.51,-0.016862277491253796,68.16214285714285,63.958800000000004
2018-09-13,2018,9,13,Thursday,36,2018-36,67.71,68.75,67.54,67.83,30553600,67.29,0.011707494344991076,68.24428571428571,64.1306
2018-09-14,2018,9,14,Friday,36,2018-36,68.75,69.78,68.38,69.11,38693600,68.55,0.01875866044458263,68.32142857142857,64.29839999999999
2018-09-17,2018,9,17,Monday,37,2018-37,68.85,69.35,68.29,68.48,20552800,67.93,-0.009043743592095144,68.28928571428573,64.431
2018-09-18,2018,9,18,Tuesday,37,2018-37,68.52,69.56,67.69,67.75,29952000,67.21,-0.010623178714378123,68.23285714285714,64.53960000000001
2018-09-19,2018,9,19,Wednesday,37,2018-37,67.57,68.18,67.06,68.0,22486000,67.45,0.0035423386950299562,68.11785714285715,64.6332
2018-09-20,2018,9,20,Thursday,37,2018-37,66.76,67.19,66.03,66.57,43058400,66.03,-0.02095786403196165,67.91357142857143,64.7268
2018-09-21,2018,9,21,Friday,37,2018-37,66.69,67.15,65.53,65.86,43512800,65.33,-0.010627397868674171,67.60857142857142,64.788
2018-09-24,2018,9,24,Monday,38,2018-38,65.55,66.46,64.67,66.43,29391200,65.89,0.008540714397739846,67.29,64.87
2018-09-25,2018,9,25,Tuesday,38,2018-38,67.09,67.36,66.23,67.1,28038800,66.56,0.010199119153297742,67.11285714285715,64.9708
2018-09-26,2018,9,26,Wednesday,38,2018-38,67.15,67.56,66.57,66.73,26854800,66.19,-0.005551035622497924,67.01,65.03699999999999
2018-09-27,2018,9,27,Thursday,38,2018-38,67.08,67.3,66.53,66.85,21442800,66.31,0.0017979713663924812,66.93071428571429,65.1156
2018-09-28,2018,9,28,Friday,38,2018-38,68.18,70.48,67.9,70.25,70939600,69.69,0.05093523686623058,67.04214285714286,65.26
2018-10-01,2018,10,1,Monday,39,2018-39,71.04,73.01,70.65,72.34,62206000,71.76,0.02967739562266658,67.33571428571429,65.4516
2018-10-02,2018,10,2,Tuesday,39,2018-39,72.06,73.19,71.39,71.62,38396400,71.04,-0.009953036967572437,67.65928571428572,65.63600000000001
2018-10-03,2018,10,3,Wednesday,39,2018-39,72.33,72.4,70.63,71.68,32055200,71.1,0.0008728841981864299,67.93142857142857,65.82520000000001
2018-10-04,2018,10,4,Thursday,39,2018-39,71.32,71.56,69.04,69.82,39122000,69.26,-0.025947910612120206,67.98214285714286,65.9618
2018-10-05,2018,10,5,Friday,39,2018-39,69.57,70.2,66.89,67.46,42663600,66.92,-0.033764311313183026,67.91,66.03699999999999
2018-10-08,2018,10,8,Monday,40,2018-40,66.62,67.79,65.02,66.44,40861200,65.91,-0.01515610822250879,67.81714285714285,66.10600000000001
2018-10-09,2018,10,9,Tuesday,40,2018-40,66.24,67.19,65.7,66.39,27350000,65.85,-0.0008649643815724639,67.70285714285714,66.2128
2018-10-10,2018,10,10,Wednesday,40,2018-40,65.32,65.78,61.4,61.42,68494000,60.93,-0.07475355791669924,67.33857142857143,66.2176
2018-10-11,2018,10,11,Thursday,40,2018-40,60.54,61.89,58.56,58.78,72543600,58.31,-0.04298086104600107,66.83714285714287,66.16199999999999
2018-10-12,2018,10,12,Friday,40,2018-40,61.38,62.38,59.91,61.63,60823600,61.14,0.048526250015456185,66.49785714285714,66.14240000000001
2018-10-15,2018,10,15,Monday,41,2018-41,61.5,61.5,58.83,58.85,44976000,58.37,-0.04526632808641262,65.91285714285713,66.06020000000001
2018-10-16,2018,10,16,Tuesday,41,2018-41,59.98,61.57,59.49,61.46,40871200,60.96,0.04439620208393413,65.53928571428573,66.0202
2018-10-17,2018,10,17,Wednesday,41,2018-41,62.08,62.47,60.27,60.76,32966800,60.27,-0.01126804277891491,65.10785714285714,65.952
2018-10-18,2018,10,18,Thursday,41,2018-41,61.47,61.85,59.27,59.88,52402000,59.4,-0.014523219164115364,64.37285714285714,65.85900000000001
2018-10-19,2018,10,19,Friday,41,2018-41,60.44,60.64,56.92,57.29,61360800,56.83,-0.043251264624656005,63.306428571428576,65.7244
2018-10-22,2018,10,22,Monday,42,2018-42,57.82,58.83,56.77,57.81,36884400,57.34,0.008945245811010638,62.327857142857134,65.6082
2018-10-23,2018,10,23,Tuesday,42,2018-42,55.11,56.05,54.18,55.26,62643600,54.82,-0.04394069327343941,61.165000000000006,65.435
2018-10-24,2018,10,24,Wednesday,42,2018-42,54.88,55.35,49.71,49.85,88428800,49.45,-0.09793718912522198,59.75,65.12819999999999
2018-10-25,2018,10,25,Thursday,42,2018-42,48.87,52.44,48.42,51.96,95172000,51.54,0.04227467647273686,58.651428571428575,64.87480000000001
2018-10-26,2018,10,26,Friday,42,2018-42,49.58,51.21,48.28,49.57,66478400,49.17,-0.04594897587834745,57.455714285714286,64.582
2018-10-29,2018,10,29,Monday,43,2018-43,51.0,51.03,44.0,46.4,75801600,46.03,-0.0638961061932074,56.04,64.289
2018-10-30,2018,10,30,Tuesday,43,2018-43,46.64,50.85,46.4,50.75,80719200,50.34,0.09363200716021614,55.28357142857143,64.0672
2018-10-31,2018,10,31,Wednesday,43,2018-43,52.41,53.15,51.0,52.71,74577200,52.28,0.03857128199578952,54.85285714285714,63.857200000000006
2018-11-01,2018,11,1,Thursday,43,2018-43,53.08,54.62,51.8,54.53,56652800,54.09,0.03453035086331724,54.34928571428571,63.6362
2018-11-02,2018,11,2,Friday,43,2018-43,54.43,55.5,52.55,53.73,45296000,53.3,-0.014625745939490953,53.987142857142864,63.379400000000004
2018-11-05,2018,11,5,Monday,44,2018-44,53.6,53.83,51.32,52.94,37933200,52.52,-0.01465659570426392,53.38428571428572,63.08040000000001
2018-11-06,2018,11,6,Tuesday,44,2018-44,52.86,53.71,52.39,52.76,29901200,52.34,-0.003352748416894924,52.81785714285714,62.7596
2018-11-07,2018,11,7,Wednesday,44,2018-44,53.44,54.35,52.79,53.45,48381200,53.02,0.012934843292426113,52.362142857142864,62.46
