,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,profit,if_over_5_pers
105,2017-06-05,2017,6,5,Monday,23,2017-23,35.74,37.13,35.63,37.0,81737600,36.58,0.030423586865373,34.47785714285714,28.4602,Long,-0.12670719126901986,False
106,2017-06-06,2017,6,6,Tuesday,23,2017-23,36.96,37.42,36.7,36.83,75872800,36.42,-0.0045269474915385,34.66642857142857,28.658,short,-0.7893570977115019,False
107,2017-06-07,2017,6,7,Wednesday,23,2017-23,37.08,37.47,36.92,37.28,61261200,36.86,0.0120806997405105,35.04714285714286,28.8606,Long,3.400054064431174,False
108,2017-06-08,2017,6,8,Thursday,23,2017-23,38.37,40.0,37.95,39.99,116174400,39.53,0.0725593331633092,35.52428571428571,29.1194,Long,3.5915421365127713,False
109,2017-06-09,2017,6,9,Friday,23,2017-23,41.19,42.12,35.69,37.4,369292800,36.97,-0.0646494117819628,35.76428571428571,29.3288,short,3.1436826423716866,True
110,2017-06-12,2017,6,12,Monday,24,2017-24,36.47,37.92,35.53,37.49,169753200,37.07,0.002473258638969,35.96,29.53,Long,3.7431298157047763,False
111,2017-06-13,2017,6,13,Tuesday,24,2017-24,38.6,38.69,36.41,37.85,167250400,37.42,0.0095353775371411,36.21357142857143,29.7406,short,-0.10308856623063889,False
112,2017-06-14,2017,6,14,Wednesday,24,2017-24,37.88,38.51,37.12,37.93,118464000,37.5,0.0021135480550811,36.44571428571429,29.9554,Long,-4.0805551066675605,False
113,2017-06-15,2017,6,15,Thursday,24,2017-24,36.74,38.4,36.62,38.09,96382400,37.66,0.0042841025734932,36.695,30.211,Long,0.3307504663191736,False
114,2017-06-16,2017,6,16,Friday,24,2017-24,38.19,38.67,37.56,37.9,92496000,37.47,-0.0049219292414806,36.86714285714286,30.466400000000004,short,-1.4821674417023445,False
115,2017-06-19,2017,6,19,Monday,25,2017-25,38.35,39.38,38.31,39.33,77817600,38.88,0.0375940882914418,37.08714285714286,30.7464,Long,1.3647983047954995,False
116,2017-06-20,2017,6,20,Tuesday,25,2017-25,39.76,40.44,39.23,39.27,109544400,38.83,-0.0014624259258114,37.31214285714286,31.027600000000003,short,-0.8934246651355124,False
117,2017-06-21,2017,6,21,Wednesday,25,2017-25,39.55,39.9,38.92,39.87,68265200,39.41,0.0151506025842458,37.57857142857143,31.333,Long,0.25142274248359797,False
118,2017-06-22,2017,6,22,Thursday,25,2017-25,39.95,40.08,39.35,39.59,46913200,39.14,-0.0068978293150196,37.83857142857143,31.631400000000003,short,-0.2531973421280185,False
119,2017-06-23,2017,6,23,Friday,25,2017-25,39.67,39.83,38.31,38.46,108858800,38.02,-0.028667111471581,37.941428571428574,31.9112,short,-1.065979413412009,False
120,2017-06-26,2017,6,26,Monday,26,2017-26,38.79,39.15,37.08,38.04,106396000,37.6,-0.0109210483805102,38.02571428571429,32.1916,short,0.5906579489961956,False
121,2017-06-27,2017,6,27,Tuesday,26,2017-26,37.86,37.95,36.59,36.65,99949200,36.23,-0.0366085803680761,37.980714285714285,32.4262,short,-2.273814224227536,False
122,2017-06-28,2017,6,28,Wednesday,26,2017-26,37.33,37.99,36.44,37.94,99494800,37.51,0.0352707797868612,37.83642857142858,32.6862,Long,-0.936743561126022,False
123,2017-06-29,2017,6,29,Thursday,26,2017-26,37.65,37.68,36.02,36.67,106442400,36.25,-0.0334103523342127,37.785,32.919000000000004,short,-0.5940496059281202,False
124,2017-06-30,2017,6,30,Friday,26,2017-26,36.85,36.98,35.88,36.14,73106000,35.73,-0.014452889473014,37.68928571428571,33.1336,short,-0.40051110589050154,False
125,2017-07-03,2017,7,3,Monday,27,2017-27,36.26,36.41,34.65,34.83,70907200,34.44,-0.0361788565803326,37.47642857142857,33.3204,short,-2.176407686026934,False
126,2017-07-05,2017,7,5,Wednesday,27,2017-27,35.47,36.06,35.28,35.76,82018800,35.36,0.0266992988106578,37.32357142857143,33.5192,Long,-0.9605373109904605,False
127,2017-07-06,2017,7,6,Thursday,27,2017-27,35.47,36.35,34.94,35.87,74628400,35.46,0.0030055756795237,37.166428571428575,33.7112,Long,1.8668993683968296,False
128,2017-07-07,2017,7,7,Friday,27,2017-27,36.44,36.88,36.21,36.69,65497200,36.27,0.0228605661553766,37.080714285714286,33.922999999999995,Long,2.4397086896035205,False
