Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-02-14,2020,2,14,Friday,06,2020-06,337.51,337.73,336.2,337.6,64582200,323.31,0.0016019339684405498,317.20428571428573,310.8252
2020-02-18,2020,2,18,Tuesday,07,2020-07,336.51,337.67,335.21,336.73,57226200,322.47,-0.0025767972710245557,317.8771428571428,311.3382
2020-02-19,2020,2,19,Wednesday,07,2020-07,337.79,339.08,337.48,338.34,48814700,324.02,0.004781174350753314,318.67928571428575,311.8716
2020-02-20,2020,2,20,Thursday,07,2020-07,337.74,338.64,333.68,336.95,74163400,322.69,-0.004108263223457587,319.3135714285714,312.32399999999996
2020-02-21,2020,2,21,Friday,07,2020-07,335.47,335.81,332.58,333.48,113788200,319.36,-0.010298131327513227,320.1171428571429,312.72880000000004
2020-02-24,2020,2,24,Monday,08,2020-08,323.14,333.56,321.24,322.42,161088400,308.77,-0.033165524321222106,320.00071428571425,312.9284
2020-02-25,2020,2,25,Tuesday,08,2020-08,323.94,324.61,311.69,312.65,218913200,299.41,-0.03030194311016232,318.8778571428571,312.9238
2020-02-26,2020,2,26,Wednesday,08,2020-08,314.18,318.11,310.7,311.5,194773800,298.31,-0.0036782411467860543,317.4164285714286,312.8456
2020-02-27,2020,2,27,Thursday,08,2020-08,305.46,311.56,297.51,297.51,284353500,284.92,-0.044911864536129165,314.92214285714283,312.496
2020-02-28,2020,2,28,Friday,08,2020-08,288.7,297.89,285.54,296.26,384975800,283.72,-0.004201538457583642,312.4635714285714,312.08079999999995
2020-03-02,2020,3,2,Monday,09,2020-09,298.21,309.16,294.46,309.09,238703600,296.01,0.04330658098342255,310.7135714285714,311.91020000000003
2020-03-03,2020,3,3,Tuesday,09,2020-09,309.5,313.84,297.57,300.24,300139100,287.53,-0.028632318345678698,308.3178571428571,311.5696
2020-03-04,2020,3,4,Wednesday,09,2020-09,306.12,313.1,303.33,312.86,176613400,299.62,0.042032844129688884,306.6378571428572,311.44579999999996
2020-03-05,2020,3,5,Thursday,09,2020-09,304.98,308.47,300.01,302.46,186366800,289.66,-0.03324166648757021,304.2714285714286,311.096
2020-03-06,2020,3,6,Friday,09,2020-09,293.15,298.78,290.23,297.46,228667200,284.87,-0.016531318380700766,301.52571428571434,310.64099999999996
